period,variable,mean,std,p10,p25,p50,p75,p90
61,y,-0.660642,0.695478,-1.580137,-1.142338,-0.665182,-0.181774,0.190998
61,pi,3.564047,0.000000,3.564047,3.564047,3.564047,3.564047,3.564047
61,r,1.868476,0.208643,1.592628,1.723968,1.867114,2.012137,2.123969
61,e,-0.284949,1.525842,-2.198481,-1.324715,-0.331578,0.724278,1.757402
61,u,5.330321,0.347739,4.904501,5.090887,5.332591,5.571169,5.790068
62,y,-0.366588,0.831492,-1.413558,-0.910094,-0.384231,0.140968,0.743102
62,pi,3.251437,0.537290,2.524083,2.856329,3.295301,3.621852,3.923058
62,r,2.059802,0.427499,1.489512,1.773145,2.074766,2.341560,2.586337
62,e,0.111755,1.782943,-2.095156,-1.152246,0.138267,1.301775,2.340787
62,u,5.183294,0.415746,4.628449,4.929516,5.192115,5.455047,5.706779
63,y,-0.336056,0.836319,-1.364133,-0.917385,-0.343291,0.238161,0.737702
63,pi,2.967482,0.720648,2.049954,2.502620,2.991003,3.449980,3.845780
63,r,2.167698,0.561385,1.432414,1.795047,2.175812,2.523623,2.890054
63,e,0.329833,1.963393,-2.112220,-0.923095,0.251160,1.610350,2.816861
63,u,5.168028,0.418160,4.631149,4.880919,5.171646,5.458692,5.682066
64,y,-0.446421,0.994816,-1.699996,-1.167193,-0.456138,0.228019,0.784203
64,pi,2.751497,0.768670,1.763386,2.229382,2.754323,3.262266,3.673132
64,r,2.177704,0.618848,1.402059,1.755767,2.171255,2.605386,2.974508
64,e,0.325128,1.947780,-2.167713,-0.973408,0.383557,1.626698,2.771901
64,u,5.223211,0.497408,4.607898,4.885991,5.228069,5.583597,5.849998
65,y,-0.513845,1.159496,-1.990365,-1.322677,-0.529578,0.256350,0.983971
65,pi,2.532321,0.833622,1.442429,1.957512,2.561851,3.068618,3.573889
65,r,2.116667,0.646762,1.291051,1.669772,2.120413,2.564653,2.965422
65,e,0.201326,1.970820,-2.291578,-1.123318,0.237386,1.484094,2.796493
65,u,5.256923,0.579748,4.508015,4.871825,5.264789,5.661338,5.995183
66,y,-0.496340,1.252971,-2.030214,-1.318989,-0.502173,0.325490,1.054989
66,pi,2.334295,0.823973,1.301271,1.768696,2.295343,2.882785,3.409697
66,r,2.025481,0.674459,1.152402,1.578505,2.016907,2.470643,2.885618
66,e,0.132783,1.965880,-2.395375,-1.162468,0.114191,1.424010,2.709231
66,u,5.248170,0.626486,4.472506,4.837255,5.251086,5.659495,6.015107
67,y,-0.483789,1.297220,-2.105240,-1.378335,-0.498196,0.376057,1.141243
67,pi,2.141373,0.851906,1.020621,1.553723,2.156787,2.733837,3.209186
67,r,1.908331,0.697581,1.011072,1.426391,1.913595,2.395318,2.774064
67,e,-0.212393,2.102222,-2.878177,-1.719150,-0.250163,1.225624,2.523926
67,u,5.241894,0.648610,4.429378,4.811971,5.249098,5.689167,6.052620
68,y,-0.289522,1.349433,-1.927076,-1.202209,-0.279936,0.631108,1.441369
68,pi,1.998377,0.876587,0.873499,1.394482,1.974861,2.576068,3.124963
68,r,1.834860,0.738773,0.896114,1.329242,1.872217,2.301985,2.770920
68,e,-0.331842,2.042764,-3.011089,-1.762083,-0.309213,1.051924,2.302996
68,u,5.144761,0.674716,4.279316,4.684446,5.139968,5.601105,5.963538
69,y,-0.049926,1.370534,-1.863470,-0.896906,0.008304,0.872896,1.632159
69,pi,1.904801,0.930804,0.733527,1.215003,1.900697,2.537792,3.114661
69,r,1.823234,0.790079,0.848359,1.298904,1.813134,2.338682,2.855458
69,e,-0.278516,2.169435,-2.985252,-1.689044,-0.324420,1.093257,2.608163
69,u,5.024963,0.685267,4.183921,4.563552,4.995848,5.448453,5.931735
70,y,0.130511,1.436644,-1.781658,-0.793391,0.125365,1.182558,1.919002
70,pi,1.906965,0.945619,0.696718,1.271067,1.896069,2.562724,3.046221
70,r,1.867969,0.794455,0.829946,1.310925,1.905798,2.399415,2.869784
70,e,-0.288630,2.242840,-3.065398,-1.790941,-0.255731,1.212268,2.593149
70,u,4.934744,0.718322,4.040499,4.408721,4.937318,5.396695,5.890829
71,y,0.192975,1.518285,-1.737343,-0.865472,0.185638,1.192354,2.076817
71,pi,1.949816,0.917229,0.730813,1.334586,1.954540,2.609558,3.130351
71,r,1.934375,0.784546,0.876514,1.407982,1.961645,2.456858,2.952961
71,e,-0.206380,2.247715,-3.045679,-1.669718,-0.177389,1.204916,2.760326
71,u,4.903513,0.759143,3.961592,4.403823,4.907181,5.432736,5.868671
72,y,0.260371,1.552103,-1.608029,-0.734315,0.228531,1.286800,2.139335
72,pi,2.012671,0.938430,0.866832,1.379850,2.002077,2.643713,3.250070
72,r,2.025181,0.798893,0.962956,1.471746,2.046446,2.603757,3.058075
72,e,0.019143,2.200337,-2.758763,-1.568800,0.012848,1.602904,2.916356
72,u,4.869815,0.776051,3.930333,4.356600,4.885735,5.367157,5.804015
