period,variable,mean,std,p10,p25,p50,p75,p90
61,y,1.356604,0.000000,1.356604,1.356604,1.356604,1.356604,1.356604
61,pi,1.549502,0.405484,1.014532,1.270635,1.553876,1.833524,2.066696
61,r,2.020378,0.091234,1.900010,1.957633,2.021362,2.084283,2.136746
61,e,0.018854,1.493735,-1.851988,-0.982963,-0.048336,1.046789,2.031037
61,u,4.321698,0.000000,4.321698,4.321698,4.321698,4.321698,4.321698
62,y,1.095308,0.761197,0.183904,0.571577,1.079407,1.591547,2.112249
62,pi,2.083757,0.606683,1.305199,1.666677,2.095400,2.474518,2.879652
62,r,2.364759,0.303093,1.976202,2.155272,2.363478,2.573074,2.760678
62,e,0.721669,1.681788,-1.451377,-0.418196,0.728538,1.848530,2.901312
62,u,4.452346,0.380599,3.943875,4.204227,4.460296,4.714211,4.908048
63,y,0.528504,0.857703,-0.551484,-0.069029,0.538719,1.098053,1.604024
63,pi,2.381722,0.718542,1.458087,1.910722,2.391765,2.893704,3.319089
63,r,2.554484,0.479368,1.941522,2.248478,2.538043,2.871344,3.182996
63,e,1.103403,1.833576,-1.206949,-0.072831,1.030728,2.328409,3.510201
63,u,4.735748,0.428852,4.197988,4.450973,4.730640,5.034515,5.275742
64,y,-0.141559,0.941741,-1.350539,-0.787517,-0.176473,0.479482,1.118375
64,pi,2.508118,0.768045,1.509827,1.977554,2.506705,3.026723,3.503518
64,r,2.543170,0.594629,1.802425,2.148417,2.535737,2.925926,3.290722
64,e,1.056060,1.912435,-1.318208,-0.191756,1.076944,2.255843,3.436403
64,u,5.070779,0.470870,4.440813,4.760259,5.088237,5.393758,5.675270
65,y,-0.635421,1.078657,-2.008999,-1.366332,-0.655671,0.090060,0.746817
65,pi,2.431584,0.833296,1.375159,1.859143,2.443279,2.977495,3.469072
65,r,2.368174,0.647625,1.548342,1.930237,2.368597,2.824520,3.222205
65,e,0.704341,1.969403,-1.740234,-0.641714,0.734534,1.953392,3.241812
65,u,5.317711,0.539329,4.626592,4.954970,5.327836,5.683166,6.004499
66,y,-0.845109,1.190113,-2.381734,-1.642471,-0.817989,-0.039044,0.669943
66,pi,2.235547,0.823605,1.209833,1.672769,2.201617,2.781846,3.302589
66,r,2.112414,0.668118,1.263459,1.673163,2.113447,2.569318,2.945220
66,e,0.306648,1.949650,-2.220676,-0.938303,0.267497,1.572185,2.824302
66,u,5.422554,0.595057,4.665029,5.019522,5.408995,5.821236,6.190867
67,y,-0.849736,1.289454,-2.463868,-1.700682,-0.889622,0.028617,0.775575
67,pi,1.973885,0.846016,0.868806,1.379787,1.998995,2.558527,3.026321
67,r,1.834755,0.679478,0.983631,1.361734,1.825900,2.307108,2.693800
67,e,-0.359545,2.080151,-2.971353,-1.864013,-0.333591,1.064059,2.307995
67,u,5.424868,0.644727,4.612212,4.985692,5.444811,5.850341,6.231934
68,y,-0.508703,1.351370,-2.178698,-1.412503,-0.486882,0.411593,1.227812
68,pi,1.757089,0.860946,0.653594,1.180727,1.728152,2.357722,2.831489
68,r,1.652276,0.719862,0.750873,1.169965,1.651808,2.085081,2.550249
68,e,-0.697011,2.012654,-3.281666,-2.094164,-0.747072,0.638754,1.836954
68,u,5.254352,0.675685,4.386094,4.794203,5.243441,5.706252,6.089349
69,y,-0.042687,1.350295,-1.766791,-0.887427,0.004462,0.849098,1.677933
69,pi,1.631508,0.924784,0.448724,0.963312,1.612820,2.244854,2.818839
69,r,1.608718,0.786819,0.646948,1.075298,1.597576,2.130827,2.594677
69,e,-0.707548,2.164252,-3.386713,-2.086261,-0.801668,0.689702,2.152268
69,u,5.021343,0.675147,4.161033,4.575451,4.997769,5.443713,5.883396
70,y,0.350818,1.413057,-1.479261,-0.565409,0.392851,1.342074,2.147616
70,pi,1.663004,0.949700,0.446126,1.023294,1.661427,2.317809,2.848289
70,r,1.696831,0.797610,0.671509,1.151170,1.734927,2.246035,2.701339
70,e,-0.630905,2.245455,-3.410787,-2.154460,-0.595940,0.879150,2.221403
70,u,4.824591,0.706529,3.926192,4.328963,4.803575,5.282705,5.739630
71,y,0.540358,1.515897,-1.342670,-0.512591,0.545590,1.574929,2.439766
71,pi,1.788825,0.919844,0.576496,1.167929,1.800401,2.434621,2.958841
71,r,1.856900,0.784296,0.783502,1.329073,1.869325,2.370686,2.864458
71,e,-0.361330,2.245958,-3.178468,-1.821358,-0.340605,1.060394,2.603963
71,u,4.729821,0.757948,3.780117,4.212536,4.727205,5.256296,5.671335
72,y,0.615752,1.554859,-1.249237,-0.376679,0.554480,1.683730,2.490888
72,pi,1.961218,0.936437,0.845981,1.322960,1.951312,2.594365,3.183437
72,r,2.054365,0.794253,0.978321,1.508014,2.084601,2.625116,3.091567
72,e,0.077510,2.184894,-2.730203,-1.572892,0.069843,1.601712,2.868156
72,u,4.692124,0.777429,3.754556,4.158135,4.722760,5.188340,5.624618
