period,variable,mean,std,p10,p25,p50,p75,p90
61,y,-0.660642,0.695478,-1.580137,-1.142338,-0.665182,-0.181774,0.190998
61,pi,1.549502,0.405484,1.014532,1.270635,1.553876,1.833524,2.066696
61,r,1.415204,0.225877,1.122271,1.265851,1.415623,1.568978,1.691475
61,e,3.830408,0.451754,3.244541,3.531701,3.831245,4.137956,4.382950
61,u,5.330321,0.347739,4.904501,5.090887,5.332591,5.571169,5.790068
62,y,-0.917695,0.779911,-1.900842,-1.451354,-0.928530,-0.406458,0.082872
62,pi,0.514548,0.572144,-0.216417,0.102544,0.520510,0.879212,1.241805
62,r,0.893388,0.414369,0.371520,0.619962,0.891468,1.159036,1.421633
62,e,-2.221073,1.791608,-4.480694,-3.424032,-2.253796,-1.057993,0.012468
62,u,5.458848,0.389956,4.958564,5.203229,5.464265,5.725677,5.950421
63,y,0.389472,0.856492,-0.693179,-0.219267,0.412569,0.971445,1.480609
63,pi,1.436631,0.767953,0.430015,0.911022,1.439802,1.960825,2.414251
63,r,1.049463,0.542299,0.346935,0.689422,1.045943,1.399383,1.743712
63,e,-1.906637,1.934793,-4.276025,-3.168400,-1.948620,-0.655311,0.561948
63,u,4.805264,0.428246,4.259695,4.514278,4.793716,5.109634,5.346590
64,y,1.252236,1.034587,-0.088946,0.577078,1.250548,1.980664,2.589779
64,pi,1.568128,0.796465,0.538432,1.046631,1.564524,2.107851,2.601174
64,r,1.470544,0.602794,0.710220,1.058803,1.481749,1.873589,2.256337
64,e,-1.089193,1.924879,-3.518116,-2.360071,-1.016836,0.183447,1.260977
64,u,4.373882,0.517294,3.705110,4.009668,4.374726,4.711461,5.044473
65,y,1.552241,1.175811,0.047638,0.737208,1.542677,2.343319,3.076584
65,pi,1.923154,0.838990,0.829108,1.355166,1.938924,2.462954,2.958390
65,r,1.998344,0.642859,1.188456,1.549527,1.993634,2.442749,2.839443
65,e,-0.035320,1.963307,-2.537073,-1.319236,0.002627,1.252710,2.503748
65,u,4.223880,0.587905,3.461708,3.828340,4.228661,4.631396,4.976181
66,y,1.274852,1.252037,-0.354201,0.451700,1.303518,2.094480,2.802058
66,pi,2.346486,0.824353,1.315895,1.786323,2.306882,2.892878,3.413219
66,r,2.459007,0.678967,1.581480,2.018220,2.450377,2.910317,3.317850
66,e,0.999835,1.971748,-1.545196,-0.257226,0.920755,2.300510,3.529939
66,u,4.362574,0.626018,3.598971,3.952760,4.348241,4.774150,5.177100
67,y,0.499639,1.296786,-1.088002,-0.360928,0.486575,1.389269,2.108816
67,pi,2.640691,0.853337,1.518194,2.055208,2.643596,3.235385,3.725832
67,r,2.684203,0.704710,1.772939,2.209544,2.683525,3.169351,3.568813
67,e,1.339351,2.121680,-1.387956,-0.117392,1.347257,2.769087,4.134627
67,u,4.750181,0.648393,3.945592,4.305365,4.756713,5.180464,5.544001
68,y,-0.278651,1.348671,-1.952940,-1.186879,-0.252737,0.623633,1.482728
68,pi,2.729163,0.872180,1.601921,2.151443,2.717034,3.304637,3.836066
68,r,2.662039,0.739296,1.691350,2.138252,2.676050,3.135179,3.558807
68,e,1.322515,2.054122,-1.344384,-0.086004,1.358852,2.663712,3.970282
68,u,5.139326,0.674335,4.258636,4.688183,5.126368,5.593439,5.976470
69,y,-0.868408,1.375691,-2.645397,-1.752488,-0.794916,0.044790,0.838491
69,pi,2.582872,0.926059,1.418729,1.892577,2.590782,3.198098,3.768527
69,r,2.433357,0.787280,1.487324,1.896640,2.429374,2.934460,3.451453
69,e,0.941731,2.163928,-1.776391,-0.517809,0.896527,2.342408,3.829797
69,u,5.434204,0.687845,4.580754,4.977605,5.397458,5.876244,6.322698
70,y,-1.134398,1.443665,-3.091781,-2.062295,-1.119727,-0.118362,0.677169
70,pi,2.310562,0.944427,1.091517,1.670230,2.302852,2.957061,3.462631
70,r,2.097910,0.792911,1.061497,1.561519,2.133881,2.637197,3.102608
70,e,0.171252,2.236684,-2.606312,-1.334054,0.219645,1.700573,3.021139
70,u,5.567199,0.721832,4.661415,5.059181,5.559863,6.031148,6.545891
71,y,-1.048894,1.513701,-2.902157,-2.123242,-1.022558,0.009203,0.856605
71,pi,1.979342,0.917418,0.764398,1.368324,1.988697,2.624657,3.168464
71,r,1.763907,0.786490,0.701255,1.228575,1.775608,2.283798,2.785333
71,e,-0.547315,2.251589,-3.380995,-1.996340,-0.533772,0.847692,2.421262
71,u,5.524447,0.756851,4.571697,4.995399,5.511279,6.061621,6.451078
72,y,-0.562657,1.544562,-2.422767,-1.573559,-0.614282,0.474013,1.317889
72,pi,1.704137,0.940200,0.566112,1.083913,1.695691,2.359645,2.939731
72,r,1.563955,0.800020,0.484951,1.007755,1.587009,2.131597,2.581237
72,e,-0.903309,2.198107,-3.654458,-2.512054,-0.858343,0.585945,1.983391
72,u,5.281329,0.772281,4.341056,4.762993,5.307141,5.786780,6.211384
