period,variable,mean,std,p10,p25,p50,p75,p90
61,y,-0.660642,0.695478,-1.580137,-1.142338,-0.665182,-0.181774,0.190998
61,pi,1.549502,0.405484,1.014532,1.270635,1.553876,1.833524,2.066696
61,r,3.415204,0.225877,3.122271,3.265851,3.415623,3.568978,3.691475
61,e,2.808506,1.534777,0.874588,1.784958,2.790926,3.818791,4.867893
61,u,5.330321,0.347739,4.904501,5.090887,5.332591,5.571169,5.790068
62,y,-1.913315,0.836713,-2.972825,-2.487634,-1.931117,-1.369404,-0.787696
62,pi,0.718928,0.640263,-0.097560,0.269311,0.727992,1.116823,1.557115
62,r,2.340688,0.445097,1.757952,2.040336,2.341711,2.624844,2.919997
62,e,0.673527,1.812095,-1.551774,-0.587596,0.686424,1.901336,2.936692
62,u,5.956658,0.418356,5.393848,5.684702,5.965558,6.243817,6.486413
63,y,-1.854324,0.861681,-2.918345,-2.446501,-1.838528,-1.275090,-0.773691
63,pi,0.449244,0.769696,-0.570473,-0.074918,0.449110,0.969166,1.442883
63,r,1.384367,0.570882,0.649320,0.993963,1.388769,1.754162,2.137703
63,e,-1.236829,1.966928,-3.699811,-2.473811,-1.270921,-0.006352,1.244773
63,u,5.927162,0.430840,5.386845,5.637545,5.919264,6.223250,6.459172
64,y,-0.877704,1.034886,-2.249406,-1.562651,-0.895604,-0.144909,0.422201
64,pi,0.177551,0.799561,-0.858450,-0.355695,0.158402,0.715293,1.191052
64,r,0.803350,0.621082,0.018564,0.390296,0.805218,1.218362,1.613118
64,e,-2.423580,1.950194,-4.872161,-3.719394,-2.360709,-1.134207,0.023275
64,u,5.438852,0.517443,4.788899,5.072454,5.447802,5.781326,6.124703
65,y,0.515482,1.198885,-1.019890,-0.317454,0.516718,1.333068,2.059923
65,pi,0.150969,0.841957,-0.942938,-0.411348,0.180246,0.703715,1.206368
65,r,0.721460,0.647033,-0.102877,0.271691,0.725647,1.167044,1.562932
65,e,-2.589088,1.971790,-5.067838,-3.919251,-2.568605,-1.325391,-0.001162
65,u,4.742259,0.599443,3.970038,4.333466,4.741641,5.158727,5.509945
66,y,1.722329,1.274992,0.129751,0.890602,1.764931,2.570281,3.310360
66,pi,0.492082,0.824406,-0.540242,-0.071387,0.455520,1.038984,1.562941
66,r,1.090658,0.678898,0.206097,0.653848,1.081050,1.535584,1.949674
66,e,-1.736863,1.973715,-4.305275,-2.968290,-1.803730,-0.432912,0.796313
66,u,4.138836,0.637496,3.344820,3.714859,4.117535,4.554699,4.935124
67,y,2.225969,1.302489,0.603528,1.362551,2.199558,3.099984,3.858171
67,pi,1.094585,0.851606,-0.021049,0.497918,1.114906,1.692363,2.170933
67,r,1.691132,0.705672,0.789870,1.194941,1.690274,2.176577,2.575020
67,e,-0.646792,2.117261,-3.368420,-2.108293,-0.652048,0.798320,2.151083
67,u,3.887015,0.651245,3.070914,3.450008,3.900221,4.318725,4.698236
68,y,2.095485,1.350115,0.433800,1.193917,2.107685,3.023254,3.837505
68,pi,1.800783,0.876946,0.679439,1.182530,1.782721,2.375031,2.922677
68,r,2.321284,0.743628,1.354826,1.831286,2.354930,2.790569,3.237500
68,e,0.641004,2.053930,-1.991521,-0.788411,0.672571,2.007155,3.282439
68,u,3.952258,0.675057,3.081247,3.488373,3.946157,4.403042,4.783100
69,y,1.371656,1.376313,-0.465945,0.503456,1.426973,2.286122,3.075980
69,pi,2.389639,0.930645,1.213597,1.690604,2.377669,3.027088,3.583614
69,r,2.772257,0.790922,1.794369,2.251709,2.766344,3.292253,3.796279
69,e,1.619530,2.170573,-1.075567,0.184734,1.564483,3.021843,4.500587
69,u,4.314172,0.688156,3.462010,3.856939,4.286514,4.748272,5.232973
70,y,0.318753,1.447214,-1.632778,-0.574058,0.329919,1.336236,2.135474
70,pi,2.751154,0.945390,1.545347,2.111945,2.748811,3.402894,3.886272
70,r,2.921054,0.794119,1.891623,2.364696,2.953718,3.458158,3.920323
70,e,1.817539,2.241817,-0.962454,0.317346,1.853555,3.321156,4.673658
70,u,4.840623,0.723607,3.932263,4.331882,4.835040,5.287029,5.816389
71,y,-0.709516,1.525036,-2.639429,-1.731506,-0.711248,0.321918,1.208422
71,pi,2.785468,0.917543,1.567704,2.169680,2.799172,3.443216,3.964715
71,r,2.746771,0.786516,1.683984,2.211615,2.758414,3.265470,3.768560
71,e,1.418413,2.251543,-1.417768,-0.034939,1.435731,2.815970,4.389160
71,u,5.354758,0.762518,4.395789,4.839041,5.355624,5.865753,6.319714
72,y,-1.274018,1.551310,-3.133183,-2.295232,-1.311475,-0.253699,0.606726
72,pi,2.541819,0.940587,1.408013,1.909513,2.540121,3.196130,3.783423
72,r,2.374459,0.802251,1.310727,1.827030,2.400588,2.955118,3.410842
72,e,0.717700,2.199614,-2.044417,-0.880014,0.738526,2.221847,3.615546
72,u,5.637009,0.775655,4.696637,5.126849,5.655737,6.147616,6.566592
