period,y,pi,r,e,u,eps_y,eps_pi,eps_e
0,0.000000,2.000000,2.000000,0.000000,5.000000,0.000000,0.000000,0.000000
1,0.213302,1.584006,1.970392,1.066461,4.893349,0.213302,-0.415994,1.125677
2,0.633509,0.696421,1.871581,-2.210108,4.683245,0.658395,-0.780414,-1.953269
3,1.115369,1.543820,2.122814,0.220426,4.442315,0.089488,-0.126497,-0.025202
4,0.177391,1.878429,2.130256,1.427199,4.911304,-0.597131,0.351759,1.166688
5,-0.175459,2.165006,2.095206,0.891676,5.087729,0.046221,0.450896,0.701264
6,-0.977331,2.341177,1.864491,-1.709343,5.488665,-0.601505,0.147500,-1.438324
7,0.256225,2.433419,2.059204,-0.158886,4.871888,0.614915,-0.019970,-0.277294
8,-0.275416,2.693163,2.123660,0.015526,5.137708,-0.476651,0.489017,-0.231794
9,-0.597464,2.372603,2.009708,0.817879,5.298732,-0.299829,-0.140853,0.798464
10,-0.391561,2.119610,1.917696,0.481623,5.195780,0.255811,0.165093,0.646232
11,1.138963,1.861690,2.240610,-0.287143,4.430519,1.499153,-0.162566,-0.768364
12,0.254592,2.724336,2.443872,2.581202,4.872704,-0.569641,0.246392,1.693458
13,-0.658654,1.880224,2.152746,-0.931231,5.329327,-0.079763,-0.336063,-1.236722
14,0.023091,2.622540,2.276832,1.368396,4.988455,0.455415,0.297302,0.814731
15,-0.887163,2.233588,2.021716,0.218461,5.443581,-0.465857,0.092865,0.175029
16,-0.613370,2.445602,1.934708,0.204810,5.306685,0.153082,0.348572,0.335393
17,-0.017243,2.207736,1.986070,0.405818,5.008622,0.475239,0.027032,0.433679
18,0.355302,1.567388,1.997412,-0.484683,4.822349,0.441902,-0.582862,-0.479507
19,0.053470,1.653688,1.935921,-0.540872,4.973265,-0.329261,-0.255551,-0.412713
20,1.235857,1.357297,2.171682,1.795781,4.382072,1.046459,-0.346332,1.452418
21,-0.651489,1.282490,1.789043,-0.177784,5.325744,-1.178009,-0.133954,0.244130
22,0.051296,1.736974,1.776894,0.743810,4.974352,0.410356,0.284491,1.190021
23,-0.217970,1.401384,1.610281,0.507525,5.108985,-0.244108,-0.184941,1.286964
24,-0.175962,0.881109,1.364200,-2.971532,5.087981,-0.133913,-0.510275,-1.699931
25,0.191400,1.761345,1.463292,-0.859777,4.904300,-0.643617,0.198864,0.213639
26,1.130440,1.256585,1.715662,-0.330866,4.434780,0.483340,-0.170901,0.237810
27,1.579041,1.516411,2.123218,0.931598,4.210479,0.437913,-0.123739,0.685163
28,0.539635,1.774493,2.215886,-0.140834,4.730183,-0.463348,-0.145222,-0.572607
29,-0.506745,2.410898,2.123932,-0.456240,5.253373,-0.837088,0.194789,-0.704104
30,-0.379761,2.443034,2.091096,0.851990,5.189881,0.008746,0.192299,0.669797
31,-0.063095,1.967938,2.051289,-0.532369,5.031548,0.465770,-0.039394,-0.634947
32,-0.030579,1.546241,1.932327,-2.306015,5.015289,-0.055803,-0.674934,-2.170669
33,-0.448546,1.512528,1.698233,-0.003873,5.224273,-0.925890,-0.398899,0.599661
34,-0.810837,0.745790,1.218050,0.384941,5.405418,-0.633835,-0.151265,1.948842
35,-0.505872,0.701409,0.891397,-3.617632,5.252936,-0.249385,0.295006,-1.400427
36,0.840184,0.984495,1.081254,-2.346041,4.579908,-0.143806,-0.380009,-0.508550
37,2.280818,0.426098,1.549184,-0.249997,3.859591,0.588216,-0.690928,0.651635
38,2.311559,0.760251,2.031330,-2.106426,3.844221,0.166415,-0.237660,-2.169087
39,2.302225,1.906351,2.696227,1.741469,3.848888,0.050491,-0.211797,0.349014
40,1.091046,2.703056,3.077295,1.795556,4.454477,0.015297,0.640712,-0.359033
41,-0.849099,3.165215,2.923144,2.176283,5.424550,-0.716448,0.071710,0.329995
42,-0.716991,3.025213,2.800248,2.135803,5.358495,0.951431,0.334044,0.535307
43,-0.456590,2.219747,2.592677,0.225726,5.228295,1.024312,-0.475505,-0.959627
44,-1.414627,2.252215,2.136136,-1.792758,5.707313,-0.648603,-0.155924,-2.065029
45,-0.410225,1.988561,1.990074,-2.226061,5.205113,0.444606,-0.088889,-2.206209
46,-0.587918,2.037109,1.823537,0.904264,5.293959,-0.710905,0.125406,1.257190
47,0.852402,2.339567,2.182130,0.985874,4.573799,1.397712,1.165545,0.621614
48,-0.317207,1.794409,2.013390,0.428347,5.158604,-0.692677,-0.852819,0.401567
49,-0.916528,1.623168,1.651636,-1.614874,5.458264,-0.569059,-0.166143,-0.918145
50,-0.299783,2.110434,1.638803,-0.486821,5.149891,-0.098554,0.426392,0.235573
51,-0.036789,1.345127,1.534600,-3.442825,5.018394,-0.111044,-0.414262,-2.512024
52,0.597959,1.932843,1.768687,2.189269,4.701021,-0.340416,-0.021513,2.651895
53,0.270493,1.442062,1.758996,-1.230952,4.864754,0.091192,0.393096,-0.748943
54,-0.222274,1.876153,1.700599,-1.686641,5.111137,-0.829461,-0.386047,-1.087839
55,1.829079,1.556019,2.194337,1.646408,4.085461,1.489929,-0.328555,1.257734
56,0.385330,2.015869,2.284356,1.146139,4.807335,-0.632049,0.372629,0.577426
57,-0.201224,2.252957,2.238251,-0.505680,5.100612,-0.109647,-0.016305,-0.982182
58,0.109457,2.308190,2.304693,-1.229023,4.945272,0.312251,-0.181993,-1.838409
59,-0.744002,2.550267,2.159598,2.687834,5.372001,-0.894556,0.069035,2.368637
60,-1.116533,1.394326,1.664422,-0.242417,5.558267,0.111994,-0.047455,0.428739
